row,pot,mass,ber,fungus,cracking,penetrometer,sugar_avg,date_harvest,date_analysis,treatment,transplantation,germination,fruit,daysfromharvesttoanalysis,daysfromgermination,plant,ripeness,sugar_grams
A,6,195.3,FALSE,FALSE,FALSE,1.2,6.5,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A6,0.73,12.694500000000001
B,10,152,FALSE,FALSE,FALSE,1.1,7.3,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B10,0.75,11.096
C,5,333.7,FALSE,FALSE,TRUE,1,7.3,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,5,105,C5,0.77,24.3601
D,4,349.4,FALSE,FALSE,TRUE,1,6.3,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,5,105,D4,0.77,22.0122
B,9,245,FALSE,FALSE,FALSE,1.2,6.4,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B9,0.73,15.68
C,8,118.1,FALSE,FALSE,FALSE,1.6,7.5,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,5,105,C8,0.64,8.8575
B,10,280.9,FALSE,FALSE,TRUE,1,6.8,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B10,0.77,19.1012
A,7,222,FALSE,FALSE,FALSE,1,6.3,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A7,0.77,13.986
A,10,112.5,FALSE,FALSE,FALSE,0.3,7.2,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A10,0.9299999999999999,8.100000000000001
B,2,238.6,FALSE,FALSE,FALSE,1.2,5.2,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B2,0.73,12.407200000000001
A,6,149.6,FALSE,FALSE,FALSE,0.8,6,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A6,0.8200000000000001,8.975999999999999
A,6,146.5,FALSE,FALSE,FALSE,1,6.1,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A6,0.77,8.9365
A,3,107.6,FALSE,FALSE,TRUE,1,6.1,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A3,0.77,6.563599999999999
A,6,148.9,FALSE,FALSE,FALSE,1.3,6.1,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A6,0.7,9.0829
A,1,355.7,FALSE,FALSE,FALSE,0.2,5.9,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A1,0.95,20.9863
