"","Treatment","Transplantation","Germination","Row","Pot","Plant","DateHarvest","DateAnalysis","DaysFromHarvestToAnalysis","DaysFromGermination","Mass","BER","Penetrometer","Ripeness","SugarAvg","SugarGrams","Fruit"
"96","Control",FALSE,FALSE,"A","7","A7","2024-08-13","2024-08-14",1,105,113.4,FALSE,1,0.77,0.063,7.1442,1
"97","Transplantation",TRUE,FALSE,"B","6","B6","2024-08-13","2024-08-14",1,105,119.1,FALSE,1.2,0.73,0.066,7.8606,1
"98","Transplantation",TRUE,FALSE,"B","10","B10","2024-08-13","2024-08-14",1,105,111.3,TRUE,NA,NA,NA,NA,1
"99","Transplantation",TRUE,FALSE,"B","8","B8","2024-08-13","2024-08-14",1,105,136.9,FALSE,1.4,0.68,0.062,8.4878,1
"100","Transplantation",TRUE,FALSE,"B","10","B10","2024-08-13","2024-08-14",1,105,260.4,FALSE,0.9,0.8,0.072,18.7488,1
"101","Transplantation",TRUE,FALSE,"B","9","B9","2024-08-13","2024-08-14",1,105,106.2,FALSE,0.9,0.8,0.075,7.965,1
"102","Transplantation",TRUE,FALSE,"B","9","B9","2024-08-13","2024-08-14",1,105,198.9,FALSE,0.1,0.98,0.068,13.5252,1
"103","Transplantation",TRUE,FALSE,"B","7","B7","2024-08-13","2024-08-14",1,105,144.7,FALSE,0.3,0.93,0.069,9.9843,1
"104","Transplantation",TRUE,FALSE,"B","9","B9","2024-08-13","2024-08-14",1,105,201.3,FALSE,1,0.77,0.061,12.2793,1
"105","Transplantation",TRUE,FALSE,"B","7","B7","2024-08-13","2024-08-14",1,105,118.6,FALSE,1,0.77,0.064,7.5904,1
"106","Transplantation",TRUE,FALSE,"B","12","B12","2024-08-13","2024-08-14",1,105,79.4,TRUE,NA,NA,NA,NA,1
"107","Transplantation",TRUE,FALSE,"B","10","B10","2024-08-13","2024-08-14",1,105,166.4,FALSE,0.9,0.8,0.074,12.3136,1
"108","Transplantation",TRUE,FALSE,"B","12","B12","2024-08-13","2024-08-14",1,105,147.5,FALSE,1.1,0.75,0.084,12.39,1
"109","Transplantation",TRUE,FALSE,"B","7","B7","2024-08-13","2024-08-14",1,105,166.6,FALSE,0.9,0.8,0.073,12.1618,1
"110","Germination",FALSE,TRUE,"C","2","C2","2024-08-13","2024-08-14",1,105,154.3,FALSE,1,0.77,0.066,10.1838,1
"111","Transplantation",TRUE,FALSE,"B","8","B8","2024-08-13","2024-08-14",1,105,300.3,FALSE,1.1,0.75,0.064,19.2192,1
"112","Transplantation",TRUE,FALSE,"B","9","B9","2024-08-13","2024-08-14",1,105,198.1,FALSE,1,0.77,0.066,13.0746,1
"113","Transplantation",TRUE,FALSE,"B","11","B11","2024-08-13","2024-08-14",1,105,182.6,FALSE,1.5,0.66,0.075,13.695,1
"114","Germ+Trans",TRUE,TRUE,"D","11","D11","2024-08-13","2024-08-14",1,105,176.7,FALSE,0.9,0.8,0.062,10.9554,1
"115","Germ+Trans",TRUE,TRUE,"D","8","D8","2024-08-13","2024-08-14",1,105,190.9,FALSE,1.4,0.68,0.063,12.0267,1
"116","Germ+Trans",TRUE,TRUE,"D","5","D5","2024-08-13","2024-08-14",1,105,343.8,FALSE,1,0.77,0.068,23.3784,1
"117","Germ+Trans",TRUE,TRUE,"D","5","D5","2024-08-13","2024-08-14",1,105,219.4,FALSE,0.9,0.8,0.067,14.6998,1
"118","Germ+Trans",TRUE,TRUE,"D","6","D6","2024-08-13","2024-08-14",1,105,136.7,FALSE,1.1,0.75,0.076,10.3892,1
"119","Germ+Trans",TRUE,TRUE,"D","8","D8","2024-08-13","2024-08-14",1,105,198,FALSE,1.2,0.73,0.064,12.672,1
"120","Germ+Trans",TRUE,TRUE,"D","5","D5","2024-08-13","2024-08-14",1,105,290.1,FALSE,1.1,0.75,0.065,18.8565,1
"121","Germ+Trans",TRUE,TRUE,"D","8","D8","2024-08-13","2024-08-14",1,105,215.9,FALSE,0.2,0.95,0.075,16.1925,1
"122","Germ+Trans",TRUE,TRUE,"D","7","D7","2024-08-13","2024-08-14",1,105,145.2,FALSE,1.5,0.66,0.074,10.7448,1
"123","Germ+Trans",TRUE,TRUE,"D","6","D6","2024-08-13","2024-08-14",1,105,81,FALSE,1,0.77,0.075,6.075,1
"124","Germ+Trans",TRUE,TRUE,"D","8","D8","2024-08-13","2024-08-14",1,105,128,FALSE,1.1,0.75,0.068,8.704,1
"125","Germ+Trans",TRUE,TRUE,"D","6","D6","2024-08-13","2024-08-14",1,105,116.7,TRUE,NA,NA,NA,NA,1
"126","Germination",FALSE,TRUE,"C","11","C11","2024-08-13","2024-08-14",1,105,185.4,FALSE,1.4,0.68,0.065,12.051,1
"127","Germination",FALSE,TRUE,"C","9","C9","2024-08-13","2024-08-14",1,105,232.9,FALSE,1.4,0.68,0.066,15.3714,1
"128","Germination",FALSE,TRUE,"C","9","C9","2024-08-13","2024-08-14",1,105,122.5,FALSE,1.5,0.66,0.063,7.7175,1
